Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
Afghanistan,2008,3.72358989715576,7.16869020462036,0.450662314891815,50.799999237060604,0.71811431646347,0.17788857221603402,0.8816863298416141,0.5176371932029721,0.258195489645004,0.6120721101760861,-1.92968964576721,-1.65508437156677,1.7746618986129798,0.47659972310066206,,,,,,,,,,
Afghanistan,2009,4.40177822113037,7.3337898254394505,0.5523084402084351,51.2000007629395,0.6788963675498959,0.200178429484367,0.8500354290008549,0.5839256048202509,0.23709242045879397,0.611545205116272,-2.04409265518188,-1.63502478599548,1.7226876020431499,0.39136174321174605,,,0.44190576672554,0.28631526231765697,,,,,,
Afghanistan,2010,4.75838088989258,7.3866286277771,0.539075195789337,51.5999984741211,0.6001272201538089,0.134352549910545,0.706766068935394,0.6182654500007629,0.27532380819320695,0.29935741424560497,-1.9918100833892802,-1.6171760559081998,1.8786218166351298,0.39480274915695207,,,0.327318161725998,0.275832712650299,,,,,,
Afghanistan,2011,3.83171916007996,7.4150185585022,0.52110356092453,51.91999816894529,0.49590140581131,0.172136664390564,0.731108546257019,0.6113873124122621,0.26717469096183805,0.30738571286201505,-1.9190182685852097,-1.6162211894988998,1.7853597402572599,0.4659422338008879,,,0.336764246225357,,,,,,,
Afghanistan,2012,3.7829375267028795,7.51712608337402,0.5206367373466491,52.2400016784668,0.530935049057007,0.24427272379398302,0.7756198048591609,0.710384726524353,0.26791912317276,0.43544015288353005,-1.8429957628250102,-1.40407752990723,1.79828321933746,0.47536689043045,,,0.344539612531662,,,,,,,
Afghanistan,2013,3.5721004009246804,7.52223777770996,0.483551859855652,52.560001373290994,0.577955365180969,0.07040265947580299,0.823204100131989,0.6205848455429079,0.27332809567451505,0.482847273349762,-1.87970876693726,-1.4030355215072599,1.22368991374969,0.342568725347519,,,0.30436846613884,,,,,,,
Afghanistan,2014,3.13089561462402,7.516955375671389,0.525568425655365,52.880001068115206,0.508514046669006,0.11318448185920699,0.871241986751556,0.531691491603851,0.3748607337474821,0.409047514200211,-1.7732567787170401,-1.3125025033950801,1.39539611339569,0.445685923099518,,,0.413973927497864,,,,,,,
Afghanistan,2015,3.98285460472107,7.5005388259887695,0.528597235679626,53.2000007629395,0.388927578926086,0.08909067511558501,0.880638301372528,0.5535531640052801,0.33927604556083696,0.260557144880295,-1.8443635702133199,-1.2915937900543202,2.16061758995056,0.542479634284973,,,0.5969175696372989,,,,,,,
Afghanistan,2016,4.22016859054565,7.4970383644104,0.559071779251099,53.0,0.522566199302673,0.051364917308092006,0.793245553970337,0.5649526715278629,0.348332285881042,0.32498955726623496,-1.85542631149292,-1.39271283149719,1.79621946811676,0.425627410411835,,,0.418629497289658,,,,,,,
Afghanistan,2017,2.66171813011169,7.497754573822019,0.49088007211685203,52.799999237060604,0.427010864019394,-0.112198285758495,0.954392552375793,0.49634855985641496,0.371326178312302,0.26117852330207797,-1.8865659236908001,-1.4378075599670401,1.4540507793426498,0.546282768249512,,,0.28659886121749895,,,,,,,
Afghanistan,2018,2.69430327415466,7.49458789825439,0.507515847682953,52.5999984741211,0.37353554368019104,-0.08488787710666701,0.92760568857193,0.42412531375884993,0.404904395341873,0.364666402339935,,,1.40834379196167,0.52271169424057,,,0.29068133234977694,,,,,,,
Albania,2007,4.63425159454346,9.07733058929443,0.821371614933014,65.8000030517578,0.528604745864868,-0.014393483288586,0.8746995329856869,0.5526775717735289,0.24633502960205103,0.300680577754974,-0.045107770711184006,-0.42002409696578996,1.7649469375610398,0.380848318338394,,0.30325,,,,,0.243243247270584,0.23199999332428,,
Albania,2009,5.485469818115231,9.161638259887699,0.8330466151237491,66.1999969482422,0.525223255157471,-0.16085509955882998,0.8636654019355771,0.640023767948151,0.279256522655487,,0.048114333301783,-0.264634758234024,1.91964042186737,0.34995004534721397,,0.30325,0.617361068725586,0.11100356280803698,,,0.243243247270584,0.23199999332428,,
Albania,2010,5.26893663406372,9.20303153991699,0.733152270317078,66.40000152587889,0.5689584016799929,-0.17536652088165303,0.726261675357819,0.647908091545105,0.300060242414474,,-0.033830657601357,-0.2464330047369,1.86220121383667,0.353430181741714,,0.30325,0.543528079986572,0.201117858290672,,,0.243243247270584,0.23199999332428,,
Albania,2011,5.86742162704468,9.23090362548828,0.7594338059425351,66.6800003051758,0.48749625682830794,-0.20794312655925698,0.877002596855164,0.6276593208312989,0.256576508283615,,-0.11002282798290301,-0.278412640094757,1.8457833528518701,0.314581692218781,,0.30325,0.40726637840271,0.06661830842495,,,0.243243247270584,0.23199999332428,,
Albania,2012,5.51012420654297,9.24665546417236,0.7845017910003659,66.9599990844727,0.601512134075165,-0.17226187884807598,0.847675204277039,0.606635928153992,0.27139323949813804,0.36489370465278603,-0.060783769935370005,-0.328862011432648,1.9212025403976398,0.348667740821838,0.29,0.30325,0.568152606487274,,,,0.243243247270584,0.23199999332428,,
